Customer ID,Age,Monthly Purchase Amount 1,Monthly Purchase Amount 2,Monthly Purchase Amount 3,Monthly Purchase Amount 4,Monthly Purchase Amount 5,Monthly Purchase Amount 6,Monthly Purchase Frequency 1,Monthly Purchase Frequency 2,Monthly Purchase Frequency 3,Monthly Purchase Frequency 4,Monthly Purchase Frequency 5,Monthly Purchase Frequency 6,Credit Score,Credit Limit,Payment Status,Rating,Repeat Usage
22,41,56356084,29818038,38991782,69691898,6432788,50149971,13,19,14,3,1,19,435,5000000,Yes,5,Yes
23,35,9808051,7149160,14719363,26009388,63255153,2476223,30,18,28,19,6,8,306,5000000,Yes,3,Yes
24,25,56454883,62386674,37879487,2985142,25339892,33360530,16,18,3,24,9,18,304,5000000,Yes,3,Yes
25,22,60480836,67835326,52298869,17441967,20400093,69979441,4,17,0,17,8,5,389,5000000,Yes,5,Yes
26,38,4883077,31733240,62879352,13869839,23283089,20412523,14,2,25,18,12,3,315,5000000,No,5,Yes
27,61,16893060,56228305,40720262,47203183,47209085,49335872,3,25,22,24,26,0,518,5000000,Yes,3,Yes
28,37,21326814,2917608,21236645,10317228,780036,34578143,7,1,21,19,27,4,434,5000000,Yes,4,Yes
29,41,22694081,50549362,56857681,41110974,35710874,24691872,20,8,17,7,13,24,317,5000000,Yes,2,No
30,65,13278208,11050973,45163184,47970181,33854537,62406264,13,12,23,25,4,29,329,5000000,Yes,4,Yes
31,27,33659010,17965408,53559711,44419482,25235662,28793659,27,18,30,16,21,9,449,5000000,Yes,2,No
32,62,60099796,38011561,54487132,37047536,60628587,19501457,21,0,16,11,29,13,341,5000000,No,3,Yes
33,28,19103911,52074504,22187429,56727399,54586978,43022181,29,23,17,21,12,10,476,5000000,No,5,Yes
34,47,40237088,47451633,12975969,9649079,62939651,48086374,26,24,19,23,16,21,450,5000000,Yes,3,No
35,61,61331524,44274261,31092851,43804453,25396685,25245539,17,28,14,27,30,23,405,5000000,No,5,Yes
36,25,33893737,53320786,64402957,10527605,3542615,26871819,12,22,25,12,30,1,473,5000000,Yes,3,No
37,22,22141282,61377499,19600154,42387512,14835572,8833795,14,20,7,1,28,9,329,5000000,Yes,4,Yes
38,32,8432962,47179812,31121206,25731006,29882331,17236128,28,24,12,25,25,3,409,5000000,No,3,Yes
39,18,35383143,7184831,25777389,69035849,47627011,39060269,4,6,9,9,10,0,351,5000000,No,3,No
40,34,20036689,68663159,42925400,52801826,23129643,52678854,20,28,7,5,18,30,413,5000000,No,5,Yes
41,35,4684947,1334672,63688618,52007969,5725008,40149771,20,6,6,8,3,5,326,5000000,Yes,3,Yes
42,59,64647069,61246102,62143202,21978852,5630611,25144309,10,10,22,20,27,8,517,5000000,Yes,4,Yes
43,28,16776735,26638158,14205919,7689828,38423409,23716454,4,15,14,10,7,13,423,5000000,Yes,5,Yes
44,43,59750199,13601920,27298527,23456077,32623369,27493421,27,5,1,10,25,14,307,5000000,Yes,4,Yes
45,50,21632613,52301789,2369264,67247067,19562961,21277938,21,6,1,17,20,27,407,5000000,Yes,3,Yes
46,51,11122130,60722221,61427781,52250588,13844862,62596085,1,21,7,7,8,3,375,5000000,Yes,4,Yes
47,56,57880795,41244268,15688369,69407022,1353217,21267065,1,19,12,8,26,6,480,5000000,Yes,4,Yes
48,58,69412295,55421904,26585660,35363837,62051249,1470154,26,11,6,14,16,8,500,5000000,No,3,No
49,34,44229868,48562859,7685579,38393849,51644409,8224910,12,9,27,30,4,13,369,5000000,Yes,5,Yes
50,39,47316144,36885847,40440319,36943637,62165013,42748686,13,24,20,30,20,28,360,5000000,Yes,3,Yes
51,33,50282184,56272497,56713118,43943323,33754588,64195369,7,23,11,16,16,17,403,5000000,Yes,2,No
52,43,25692826,55983429,61790535,58904975,31903079,66188443,30,13,7,7,1,14,482,5000000,Yes,5,Yes
53,27,7624508,54041166,38650423,46832843,26306960,15218890,24,4,2,13,1,14,454,5000000,Yes,3,Yes
54,34,56318676,40567728,46349834,13480853,5484165,29754091,26,8,17,20,11,19,318,5000000,Yes,4,Yes
55,38,47133272,10826275,24963445,37679666,43707007,54075683,22,28,6,14,4,25,461,5000000,Yes,4,Yes
56,46,49740375,569126,6881509,3944426,69894043,61177642,4,4,28,7,13,27,386,5000000,Yes,5,Yes
57,54,52690631,37564838,18729105,40956309,47901791,4117640,18,30,24,30,2,25,491,5000000,Yes,4,Yes
58,29,21420222,3166793,47547044,31851690,66758407,64909619,17,25,19,5,27,26,449,5000000,Yes,5,Yes
59,18,14906116,47952608,11890167,8046700,36139832,41661278,14,15,16,12,16,7,337,5000000,Yes,3,No
60,34,31777347,23136465,64144502,44722031,15941239,34742127,9,3,28,24,21,3,503,5000000,No,3,Yes
61,53,46559398,31020950,61547628,13030293,28753535,9688355,13,18,12,30,23,17,332,5000000,No,4,Yes
62,60,42539337,4149853,45247924,10619056,42425913,22536848,26,1,24,28,23,2,412,5000000,Yes,4,Yes
63,39,26010094,39007024,49933323,41087772,61142620,9711885,25,8,21,21,7,6,373,5000000,Yes,3,Yes
64,20,40994634,34885817,3056569,43792746,17109500,49049664,8,29,4,17,13,19,507,5000000,No,4,Yes
65,47,61500451,46351866,43163760,38733030,24139280,57187220,17,1,9,29,23,12,404,5000000,Yes,5,Yes
66,60,6203285,960482,16295866,33001110,18048032,13361265,17,3,28,27,17,22,386,5000000,No,3,Yes
67,49,54769600,7481228,41072406,40749082,39845311,39503122,9,20,22,16,15,3,422,5000000,No,5,Yes
68,34,68274820,27856504,30244206,56356955,31257556,17853357,12,16,23,2,30,6,406,5000000,Yes,4,Yes
69,18,52415835,61093604,17547931,12678895,54356172,61074232,25,28,14,23,4,29,349,5000000,Yes,2,No
70,26,3600878,45094172,11336895,12179932,13212629,65569919,28,23,25,30,13,13,406,5000000,Yes,5,Yes
71,19,634821,55622215,47091468,38186492,31801998,34760410,12,28,22,9,29,30,468,5000000,Yes,5,Yes
72,56,18946757,36444589,67198760,49201128,15450284,11959013,14,29,1,0,6,8,415,5000000,Yes,2,No
73,20,16059102,24185072,7286268,6597818,17658486,56453141,16,20,26,4,22,5,391,5000000,Yes,5,Yes
74,56,49451253,8043689,54561319,31850546,17718552,20540670,23,6,21,23,18,20,502,5000000,Yes,5,Yes
75,59,52025331,64181698,714385,63130206,19883285,25952208,27,24,4,14,26,1,478,5000000,No,4,Yes
76,53,50279695,11016731,41917237,47266312,9234992,31982371,21,4,17,29,23,11,451,5000000,Yes,4,Yes
77,28,5702652,54207989,46653314,41042336,56291355,2075370,11,25,30,25,7,19,416,5000000,Yes,4,Yes
78,30,28880924,1950983,34848682,18766578,9181126,32953512,2,21,16,5,10,29,463,5000000,Yes,2,No
79,57,66713491,40413175,2979782,33782363,24635013,42644855,11,16,5,24,30,23,501,5000000,Yes,5,Yes
80,35,46575839,38508216,51335669,59921946,21848435,41535813,2,20,13,7,6,21,374,5000000,Yes,4,Yes
81,57,620980,40832809,5190101,1935361,32937570,32811652,1,10,30,7,14,22,482,5000000,Yes,5,Yes
82,52,41258829,43835435,46342006,68987018,31188356,7994646,2,16,3,28,4,1,372,5000000,Yes,2,No
83,21,50762180,61201477,29874947,564850,41407281,55240397,26,25,29,14,12,21,340,5000000,Yes,1,No
84,28,16660567,35066265,64323946,50563151,41499534,19690604,5,12,24,0,14,9,413,5000000,No,5,Yes
85,22,47765118,57905244,5102208,13601317,49688334,57387754,4,25,25,29,15,23,383,5000000,No,5,Yes
86,34,65639883,28264560,19991995,48825190,65057307,7984726,17,7,30,1,5,8,360,5000000,No,3,Yes
87,30,19696204,68200777,32227344,20754976,14486478,4756709,11,1,8,20,30,9,475,5000000,Yes,4,Yes
88,28,34536435,26811361,15057357,16166175,58555873,62648332,22,4,4,10,16,28,322,5000000,Yes,3,Yes
89,52,24339697,5903089,43800046,43313878,21452646,40038051,15,22,6,12,13,22,309,5000000,Yes,5,Yes
90,42,31646800,14963064,20612128,62335614,45731272,49163468,26,26,12,30,27,17,363,5000000,Yes,5,Yes
91,24,26792407,7926405,65619405,42063935,62602391,55835721,8,29,11,5,27,3,357,5000000,Yes,3,No
92,47,66354889,41655482,53998512,42981838,16818603,52913559,12,8,19,18,4,21,358,5000000,Yes,5,Yes
93,33,8916867,14970944,10595552,45239797,65601443,18199393,26,3,12,29,10,26,464,5000000,Yes,5,Yes
94,23,45362321,65926459,42761496,48900410,45891159,11532602,18,4,2,22,3,10,314,5000000,Yes,2,No
95,40,4774813,46348643,65862573,37740571,26114953,39748427,17,8,25,29,20,7,480,5000000,Yes,4,Yes
96,55,43054803,55513307,3605524,56983639,10649279,58506420,30,0,7,12,23,16,397,5000000,Yes,4,Yes
97,64,13782209,65969569,40874106,31334778,45290454,18760529,20,25,6,4,0,7,389,5000000,Yes,2,No
98,53,32669461,21252886,35709959,53751750,42547378,26987358,18,0,0,24,22,24,454,5000000,Yes,3,Yes
99,20,26819829,58389670,2028313,69140921,49932298,41053148,12,0,21,24,18,20,421,5000000,Yes,3,No
100,55,34490089,42729157,12018176,66010096,48154925,34249870,8,8,9,22,12,19,342,5000000,No,4,Yes
101,19,19839178,59794882,52129094,44423687,1067010,52645477,8,19,23,29,25,27,430,5000000,Yes,4,Yes
102,63,13066488,34234346,51609902,50558896,54048618,5995164,2,24,11,27,19,12,485,5000000,Yes,3,Yes
103,59,31852790,61528051,19407941,6997317,67829961,61840543,18,17,29,12,29,8,462,5000000,Yes,2,No
104,52,38637702,7265437,11384986,40048562,51373621,21060527,4,16,16,18,0,7,515,5000000,Yes,5,Yes
105,30,16276717,33992464,25488355,8636803,20183754,12356699,30,14,14,14,24,17,310,5000000,Yes,2,No
106,51,44070569,18853180,27043598,26560093,65214284,53382887,1,22,0,2,4,5,371,5000000,No,3,Yes
107,34,65348532,23673807,51440276,41638714,37923404,44931174,16,9,24,15,25,20,408,5000000,Yes,5,Yes
108,34,59602185,32198014,45764618,43048433,9461981,19577785,12,17,3,20,5,28,423,5000000,Yes,5,Yes
109,29,36465941,62637724,24712310,56782456,10156631,8913057,16,29,27,0,18,22,405,5000000,No,3,Yes
110,19,4787351,18026726,54156197,24674186,58981919,48475251,11,23,4,7,25,7,501,5000000,No,4,Yes
111,32,51877004,25495412,53552089,30044384,63349328,58023918,26,16,10,29,11,9,313,5000000,No,4,Yes
112,27,52076792,61627866,33842026,8654179,11698056,40174140,18,8,16,24,2,19,446,5000000,Yes,5,Yes
113,34,67743313,38728137,62745240,2261268,3800184,15325257,28,21,2,11,7,17,399,5000000,Yes,5,Yes
114,59,30373873,65469908,6299739,48716261,33391984,46501125,4,9,11,11,24,10,383,5000000,Yes,3,Yes
115,37,3639584,40977615,10693203,34394790,8828363,46770467,8,20,13,11,12,6,327,5000000,No,3,Yes
116,65,22542594,24774259,5329432,59130020,31710563,3831959,9,21,5,12,11,8,518,5000000,Yes,5,Yes
117,62,67780045,64940702,46486245,61253538,58556235,43523713,13,19,9,25,10,18,508,5000000,Yes,4,Yes
118,36,50607000,65619874,14949851,27646245,19778795,5010944,24,14,29,14,4,18,440,5000000,No,4,Yes
119,33,43512271,14375823,51761167,12989724,15166325,1634404,1,28,26,30,9,12,513,5000000,Yes,5,Yes
120,37,23588046,52689448,65725838,31092288,24347523,67936468,20,13,23,2,15,27,331,5000000,Yes,4,Yes
121,27,43572127,574403,26689654,28619493,41811046,21898518,14,14,21,5,16,1,332,5000000,No,3,Yes
122,23,16622445,20605653,57273253,5716804,3637784,11981818,11,5,18,28,29,11,396,5000000,Yes,3,No
123,36,61387408,16442880,45380265,8868880,603568,60700164,5,30,14,3,13,24,356,5000000,No,5,Yes
124,43,27532423,7434626,51299426,4063126,57477458,44589911,21,4,25,7,16,20,445,5000000,No,5,Yes
125,34,6461844,11884358,67253793,36238816,4949760,40447750,20,19,22,11,17,0,515,5000000,Yes,5,Yes
126,23,45341393,22467783,27192041,27826033,32009319,55109280,28,10,21,7,17,12,463,5000000,Yes,5,Yes
127,48,34103680,33860019,11536531,60872067,60269910,1142891,10,8,15,9,19,26,325,5000000,Yes,5,Yes
128,59,68277994,13571501,33226676,38143348,12506035,1063721,17,5,3,16,16,29,514,5000000,No,4,Yes
129,38,33066876,37612736,7178960,27228668,39950574,45416154,23,8,16,0,13,6,437,5000000,No,4,Yes
130,63,49333499,11851537,26285856,55379223,46356554,2029920,3,26,6,10,30,22,505,5000000,Yes,4,Yes
131,32,38449587,13046646,46621522,30573409,18192586,55685215,2,11,23,23,29,14,416,5000000,Yes,5,Yes
132,33,29438975,21895455,48895556,6489488,15719425,45036759,4,9,16,19,22,14,409,5000000,Yes,4,Yes
133,33,3129332,45548592,67259537,62578586,58594379,62201109,9,15,27,3,13,12,470,5000000,Yes,5,Yes
134,25,6197038,64906833,1382807,67514061,44100932,35195428,2,12,29,24,9,1,394,5000000,Yes,4,Yes
135,33,18878450,12907285,41662132,1832824,13818948,27428200,17,19,18,26,5,21,448,5000000,Yes,3,Yes
136,38,66469663,67926932,1921042,51879538,26270759,59393383,2,18,25,21,30,10,500,5000000,No,3,Yes
137,41,9582859,37198964,29003177,16659051,3779472,37662386,6,20,29,13,20,22,414,5000000,Yes,5,Yes
138,25,32844156,41551519,31598538,57148097,37689360,31266763,29,2,21,6,15,15,404,5000000,No,5,Yes
139,45,42698053,39349317,33291435,69900257,16248279,46503498,10,10,21,18,15,5,480,5000000,Yes,2,No
140,50,14519620,60539620,2496865,54143715,64058719,23828466,16,26,19,28,5,13,323,5000000,No,4,Yes
141,44,49748017,57547218,55752569,28079262,66184960,5553540,7,1,27,3,29,1,357,5000000,Yes,4,Yes
142,49,19908452,25465789,18431723,8873994,3871554,59840193,29,2,12,1,18,10,431,5000000,Yes,4,Yes
143,57,41963431,60530379,55109763,30713612,5396240,15772209,23,29,28,11,2,20,306,5000000,No,4,Yes
144,32,4000596,34652646,12917528,23970265,49799815,11362484,19,27,24,9,17,15,385,5000000,No,4,Yes
145,25,23046469,17510399,47414637,14477762,39601074,25658956,8,5,24,13,22,7,447,5000000,No,4,Yes
146,48,6167921,15638100,6906061,62428432,37826937,19346948,1,12,1,6,30,4,325,5000000,Yes,3,Yes
147,44,60750094,21483826,67618900,24287214,57334822,23956664,15,28,3,16,27,8,367,5000000,Yes,5,Yes
148,60,58836635,68544468,13112960,44587943,31153358,12929393,6,6,12,21,4,7,311,5000000,No,5,Yes
149,20,43495168,20069033,24084384,22833994,55295222,53813474,15,29,16,16,5,19,324,5000000,No,4,Yes
150,42,32630349,31322821,12746100,62014676,67922938,6702289,1,13,11,28,17,12,382,5000000,Yes,3,No
151,64,22505034,62564618,65065459,61537809,8874869,43617811,7,8,9,1,20,24,473,5000000,Yes,5,Yes
152,30,6611929,57449606,13334316,3518994,19060308,59293057,17,0,12,6,25,25,397,5000000,No,3,Yes
153,26,69473349,16573831,36183111,60383445,2057759,54995409,27,23,3,13,30,15,479,5000000,No,2,No
154,31,28661852,18465191,61454781,57278887,2517865,46854247,10,19,1,28,1,22,331,5000000,No,5,Yes
155,28,24101384,18181406,63518588,10305948,35988448,26743220,4,15,8,9,18,26,400,5000000,Yes,5,Yes
156,58,13842424,15107087,52434495,7415212,56318879,24559206,22,20,3,14,28,13,487,5000000,Yes,4,Yes
157,51,30579306,69501284,40102604,15752532,39899634,24719292,15,27,11,9,13,26,367,5000000,No,5,Yes
158,24,54508509,35428144,11804569,66229397,9448746,60692283,2,26,22,11,25,6,434,5000000,No,5,Yes
159,43,3930832,3017560,9460675,53633355,49870648,48363317,1,26,12,29,7,22,404,5000000,Yes,5,Yes
160,18,37959088,41943911,64463643,9516300,8971788,28413886,16,20,26,2,9,7,484,5000000,Yes,2,No
161,61,23808472,27403010,25458958,48874230,15727703,58231361,14,29,27,27,7,10,373,5000000,Yes,4,Yes
162,54,2735417,24484300,43601839,1800669,56471492,7768727,1,8,14,20,9,20,405,5000000,Yes,3,Yes
163,46,68112650,17536449,35140632,29340571,58563401,20277314,4,10,7,1,24,19,414,5000000,Yes,2,No
164,36,63925612,28122992,22511829,65033181,22546674,29492041,13,11,9,23,9,9,483,5000000,No,4,Yes
165,26,57857832,58942449,54490152,26893212,37703729,3633791,2,8,5,0,7,13,511,5000000,Yes,4,Yes
166,28,31738374,52615660,3223988,34343305,32156973,64019261,8,12,28,12,18,23,413,5000000,No,3,Yes
167,50,41285968,12189137,54395018,47479914,29140410,3676685,17,8,26,19,0,24,411,5000000,No,3,No
168,31,38614309,65072260,2924460,34683209,21060437,23603748,14,19,25,14,5,13,452,5000000,Yes,3,No
169,63,26620854,61407254,29735005,41904840,59026105,36037007,26,29,18,22,12,28,387,5000000,Yes,5,Yes
170,64,34610339,10177991,63402219,66729745,58774551,10740924,20,2,16,8,4,0,339,5000000,Yes,4,Yes
171,54,7899159,9133770,21515411,60527430,25394091,4684819,22,25,8,29,0,19,368,5000000,No,4,Yes
172,43,7913287,62644335,25594437,40455299,64752726,3120406,5,27,28,28,29,22,472,5000000,Yes,5,Yes
173,26,31702787,2092484,32338317,45083342,36898684,37281947,6,4,8,2,23,25,466,5000000,Yes,4,Yes
174,44,26882459,24098156,65948385,7127953,10152253,11165498,18,21,7,22,19,15,321,5000000,No,4,Yes
175,24,25332705,35972286,1336881,12826652,18543934,65624195,12,0,11,19,23,14,511,5000000,Yes,5,Yes
176,51,49470445,37192382,23735860,19131681,22303886,2509035,11,17,21,5,10,30,323,5000000,No,4,Yes
177,43,64827669,4875413,13751857,6519560,46762207,3494349,13,1,18,28,17,18,311,5000000,No,5,Yes
178,58,2816471,35852795,18103538,59235876,57508381,1772160,4,2,25,29,30,27,491,5000000,Yes,4,Yes
179,54,60961993,2125329,14082911,15182218,7065489,3629938,10,1,26,30,24,28,411,5000000,Yes,5,Yes
180,50,26230745,4817161,30254916,38041927,52781211,63051141,10,25,18,29,24,29,454,5000000,Yes,5,Yes
181,36,27797916,11004730,43736628,49760487,30601064,30273473,13,25,19,24,9,10,326,5000000,Yes,4,Yes
182,62,32970925,61868858,34432649,8174599,9081533,13961314,25,21,18,30,30,27,330,5000000,No,5,Yes
183,31,67967441,6343048,27895662,3273635,66597688,10495641,22,7,5,22,12,29,489,5000000,Yes,4,Yes
184,18,52884776,58269962,14832823,67904174,62178379,51483256,15,15,21,30,27,20,377,5000000,Yes,4,Yes
185,26,3397143,40750570,41961048,18263172,45570504,58070035,7,17,14,6,17,12,447,5000000,No,4,Yes
186,45,39512250,17998911,31024496,48537890,54332475,43006884,6,30,11,12,27,21,397,5000000,Yes,4,Yes
187,30,13528183,56318061,17954551,8800518,34394061,33910446,1,11,25,13,5,23,368,5000000,Yes,5,Yes
188,37,61286426,32446459,17386687,58880933,44341630,48187830,6,0,14,25,22,16,395,5000000,Yes,4,Yes
189,45,23532430,37211245,62242161,65579165,63583022,31656923,9,7,23,23,30,5,349,5000000,No,4,Yes
190,18,19497132,37170470,16757110,60665802,54456902,10236505,3,4,18,19,5,3,379,5000000,No,5,Yes
191,62,59942877,19939254,12412623,45204009,26061972,31044436,26,24,20,25,18,25,405,5000000,No,5,Yes
192,41,33087944,6653516,18995324,8921966,34808270,14993772,23,7,12,19,4,26,346,5000000,Yes,5,Yes
193,63,25427484,6890555,24258439,6201336,27049164,3287354,25,26,21,19,16,21,417,5000000,Yes,4,Yes
194,24,20166067,6775825,27565526,37767015,7382243,61239406,20,25,20,14,15,12,352,5000000,Yes,5,Yes
195,59,22490736,12518452,42917038,63255252,5578120,29284441,14,8,24,2,27,4,418,5000000,Yes,4,Yes
196,65,61351746,23862650,27137032,28301287,4493457,14564261,28,7,6,12,23,23,456,5000000,Yes,5,Yes
197,50,44678434,35079298,14998233,37907394,15293513,5007371,10,22,15,5,12,6,360,5000000,No,5,Yes
198,56,63018503,46594088,6239627,37984831,66368403,67190713,19,25,22,17,15,16,443,5000000,Yes,3,Yes
199,51,42113874,57931652,60786599,18460658,42440179,15412786,17,12,20,27,10,23,489,5000000,Yes,4,Yes
200,27,33946416,46597006,17298842,36248942,52161628,17145263,22,8,10,9,23,16,377,5000000,Yes,5,Yes
201,53,10892461,50718098,8300601,39361060,8720683,35249798,21,3,25,29,13,2,413,5000000,Yes,3,Yes
202,52,66283485,54858774,8496034,49350726,27721898,54667993,19,27,7,1,0,1,417,5000000,Yes,4,Yes
203,19,32508075,69123463,49783688,51312614,64581613,62284496,27,1,1,16,1,18,420,5000000,Yes,5,Yes
204,24,32679841,9930517,38923129,59379621,4739282,63041655,26,21,15,29,15,14,409,5000000,Yes,3,Yes
205,28,27745926,65753190,4045530,20769071,48249291,68045861,9,13,17,10,16,30,493,5000000,No,3,Yes
206,35,5884930,7371194,34576804,50297654,38306499,25860544,1,25,23,18,28,18,354,5000000,Yes,2,No
207,39,34523458,26214739,24179327,23004845,15689501,20068514,11,0,12,9,23,28,458,5000000,Yes,3,Yes
208,60,10646576,67441933,49917794,14616519,68822379,16578360,28,27,19,24,21,16,471,5000000,Yes,4,Yes
209,48,44437630,15118010,24220951,17059373,29682959,63438807,12,8,19,24,25,16,512,5000000,Yes,5,Yes
210,18,55457611,62118016,6839970,8859950,62515893,58269717,17,23,24,24,2,5,363,5000000,Yes,4,Yes
211,27,22878304,52536129,50889711,45793254,41413924,18636753,11,13,6,11,14,2,443,5000000,Yes,2,No
212,56,28231683,42078528,37845433,35476167,39127005,26200430,3,23,23,9,11,13,446,5000000,No,5,Yes
213,37,33748577,56323992,39651410,10981803,39150403,10657237,2,18,18,11,14,3,333,5000000,No,5,Yes
214,41,40888997,20820390,15111331,62608177,11937282,47091176,5,20,1,30,8,16,306,5000000,Yes,3,No
215,40,40159083,36265496,39094269,68779546,65141553,56719279,12,22,23,21,1,0,366,5000000,No,4,Yes
216,29,33822880,48750904,33140419,56011690,28514118,13812854,20,7,5,30,15,20,500,5000000,Yes,3,Yes
217,48,30210046,17645043,11837120,14292429,16367241,3518123,30,14,13,18,11,3,425,5000000,Yes,3,Yes
218,21,33548726,66860699,10298500,41456170,34256610,39320650,19,27,26,17,4,29,324,5000000,No,4,Yes
219,46,30386753,41864221,20146292,44588799,2016393,6241030,24,10,28,16,29,10,513,5000000,Yes,4,Yes
220,49,45412120,15863489,4259558,20386202,52118553,36553231,12,11,29,24,18,20,328,5000000,Yes,4,Yes
221,65,57643488,5293356,46674631,30495066,7349543,69212840,2,18,8,21,21,27,359,5000000,Yes,5,Yes
222,34,23254134,33944296,22575146,52150900,32354517,40227278,12,3,29,23,0,7,440,5000000,Yes,3,Yes
223,21,48757023,13922263,35356750,69968302,64694355,62810437,1,0,10,10,24,7,465,5000000,Yes,3,Yes
224,54,65586491,50101701,18145617,53715111,63412080,47624425,22,26,0,16,3,3,314,5000000,No,3,No
225,23,34458851,61828054,7970499,54458140,50387460,5785782,20,22,9,20,21,10,426,5000000,Yes,4,Yes
226,26,50862029,1825343,35009713,7070502,65818399,43408554,5,4,6,23,6,19,367,5000000,Yes,5,Yes
227,25,39939108,21610289,25324028,17798954,53099375,69407386,21,26,10,9,7,9,331,5000000,Yes,3,No
228,35,56489763,11480345,52160898,59094768,63230954,25602676,14,0,7,24,4,28,440,5000000,No,5,Yes
229,31,13253693,60411533,13002124,25838896,5837221,64766506,11,20,9,6,24,9,331,5000000,Yes,3,No
230,52,50200974,56454842,52561687,53666904,52811887,63528228,28,2,5,28,6,12,452,5000000,Yes,5,Yes
231,61,37456700,5602417,11034477,48353954,57808999,14929847,25,28,9,12,24,9,490,5000000,Yes,4,Yes
232,36,16204710,19766596,33488123,31767539,6513844,22924710,29,28,6,19,22,15,507,5000000,Yes,4,Yes
233,40,3835993,5861902,14545301,4805246,29967556,14415133,3,3,1,30,14,11,420,5000000,Yes,4,Yes
234,21,45060922,25587312,15312569,39165193,47520882,54284844,1,22,23,11,10,24,394,5000000,Yes,5,Yes
235,22,34495614,9247555,20901185,50190200,22904803,55098049,13,27,7,23,22,6,365,5000000,Yes,4,Yes
236,20,17634858,44021457,9655283,23929995,27579007,39139106,12,0,30,3,1,8,497,5000000,Yes,4,Yes
237,62,54046810,39858412,1236918,38771768,68297229,67983441,0,25,27,18,0,13,456,5000000,No,4,Yes
238,22,37028662,61366244,4767513,6559578,47540410,46994996,25,14,2,28,9,5,443,5000000,Yes,5,Yes
239,48,17273382,28169945,5610520,7586616,69764610,17008881,9,5,21,16,28,27,386,5000000,No,3,Yes
240,25,47028882,59332260,49036779,40157006,54112836,68949663,2,16,10,27,6,2,514,5000000,Yes,3,No
241,29,23625415,20367127,45106566,15786519,65408905,55881447,22,10,30,12,8,19,479,5000000,No,4,Yes
242,21,6018309,36573491,1345934,35474804,38449575,51258242,12,3,4,13,25,28,358,5000000,Yes,5,Yes
243,48,9630350,31967342,5425048,24730601,65147135,60756779,14,20,5,8,22,1,314,5000000,Yes,2,No
244,38,40885425,24702581,45828428,22403192,63572921,55196433,22,7,24,24,12,8,460,5000000,Yes,4,Yes
245,52,60755318,34247084,52296987,66516741,66642968,53844201,11,10,21,17,23,25,485,5000000,Yes,4,Yes
246,54,46416429,54547381,2549954,17103833,12545383,20393803,20,20,24,3,12,3,420,5000000,Yes,5,Yes
